licit,0
lentil,1
peculate,0
bravura,0
lyceum,1
caprice,0
modicum,0
cardigan,1
inanition,0
musk melon,1
parasol,0
igneous,0
abeyance,1
truculent,1
squab,0
sidereal,0
tureen,0
mestizo,1
extricate,1
souse,0
dormer,1
abatoir,1
excoriate,0
intrepid,1
incrust,1
neologism,0
legato,0
obfuscate,0
missal,1
equable,0
ardor,0
brine,1
exigencies,1
stile,0
obstreperous,1
congenial,0
rove,0
offing,0
sprat,0
impinge,1
porcine,1
parimutuel,1
hillock,1
venal,0
outcrop,0
abide,1
tracery,0
volant,1
incorrigible,1
canting,0
empyreal,1
ramify,1
abortive,0
bemused,0
quixotic,1
opal,1
hanker,0
progeny,0
testator,0
wainscot,1
quince,0
scow,0
meringue,1
scrip,1
spoliation,0
salubrious,0
manna,1
occult,1
scintilla,0
stalwart,1
bill of fare,1
landed,1
naptha,1
onyx,1
lumbago,1
credulous,1
keel,0
gauche,0
windbag, 1
bunting,1
halm,0
font,1
cogitation,1
nez,1
mucilage,0
conglobated,0
winsome,1
quadroon,1
wiseacre,1
insinuate,0
phenobarbitol,0
hewn,0
impregns,1
smirch,0
haggard,1
machismo,0
byline,1
seine,0
portcullis,0
gaseosa,1
pilaf,1
jamb,0
pone,0
papyrus,1
lee,1
kumquat,0
rhesus,0
sampan,0
lovelorn,0
panegyric,0
arrogate,0
tenon,1
birch,1
hoipolloi,1
stanchion,1
schlock,0
kith and kin,1
lascivious,1
sloven,0
presage,0
roil,1
platitude,1
lode,1
penumbra,1
impetuous,1
toreador,1
abbess,1
insuperable,0
shirr,0
pumpernickel,0
tine,1
dale,1
myopia,1
sapphire,0
canard,1
stevedore,1
haft,0
coruscate,1
scrofula,1
arbutus,0
alderman,0
inveterate,0
harangue,1
loganberry,1
pestle,1
specious,1
theosophy,1
incommudicado,1
falsetto,0
cynosure,1
boondoggle,0
goulash,1
ecumenical,1
metempsychosis,0
pathology,0
abrogate,1
manacles,0
timpani,1
pyorrhea,0
legerdemain,1
transept,1
intractable,1
sedition,0
kipper,0
sapient,0
hapless,1
blunderbuss,0
kibbutz,0
cudgel,1
abaft,1
parsnip,0
junta,0
trestle, 1
neophyte,1
blandishment,0
culvert,1
loath,0
deprecation,0
surcease,0
progeny,0
legate, 1
muslin,0
alder,0
regatta,1
carp,0
marjoram,0
verdant,0
monaural,0
nimbus,0
reprobate,1
salvo,1
ganglion,1
chancel,1
conduce,0
paregoric,0
genuflect,1
muss,0
lodestone,1
phlox,1
ultimo,0
grandiloquent,1
wheal,0
tawny,0
marten,0
pejorative,1
legatee,1
refulgent,0
reconnoiter,1
mensuration,0
skein,0
vestibule,0
slapsided,0
bedstead,1
umbrage,0
purled,1
sinecure,1
capstan,1
sturgeon,1
argent,0
catechism,0
castellated,1
obdurate,0
fissure,0
plangent,0
newel, 1
odium,0
shad,0
waft,0
colloquy,0
ballast,1
sundry,1
ragout,0
mileau,1
luxuriant,0
unconscionable,1
broach,0
wanton,0
erudite,1
